time,voltage,current,power,pwm,running,stop_reason
39.251,1.346,0.000,0.000,0,0,1
39.356,1.348,0.000,0.000,0,0,1
39.459,1.350,0.000,0.000,0,0,1
39.564,1.346,0.000,0.000,0,0,1
39.668,1.349,0.000,0.000,0,0,1
39.771,1.347,0.000,0.000,0,0,1
39.876,1.349,0.000,0.000,0,0,1
39.980,1.349,0.000,0.000,0,0,1
40.084,1.347,0.000,0.000,0,0,1
40.188,1.349,0.000,0.000,0,0,1
40.293,1.348,0.000,0.000,0,0,1
40.396,1.347,0.000,0.000,0,0,1
40.501,1.348,0.000,0.000,0,0,1
40.605,1.346,0.000,0.000,0,0,1
40.709,1.346,0.000,0.000,0,0,1
40.813,1.349,0.000,0.000,0,0,1
40.917,1.348,0.000,0.000,0,0,1
41.022,1.349,0.000,0.000,0,0,1
41.125,1.347,0.000,0.000,0,0,1
41.230,1.347,0.000,0.000,0,0,1
41.334,1.347,0.000,0.000,0,0,1
41.437,1.348,0.000,0.000,0,0,1
41.542,1.350,0.000,0.000,0,0,1
41.646,1.350,0.000,0.000,0,0,1
41.750,1.348,0.000,0.000,0,0,1
41.854,1.346,0.000,0.000,0,0,1
41.959,1.351,0.000,0.000,0,0,1
42.063,1.347,0.000,0.000,0,0,1
42.167,1.351,0.000,0.000,0,0,1
42.271,1.350,0.000,0.000,0,0,1
42.375,1.350,0.000,0.000,0,0,1
42.479,1.352,0.000,0.000,0,0,1
42.583,1.349,0.000,0.000,0,0,1
42.688,1.350,0.000,0.000,0,0,1
42.791,1.347,0.000,0.000,0,0,1
42.896,1.347,0.000,0.000,0,0,1
43.000,1.349,0.000,0.000,0,0,1
43.104,1.350,0.000,0.000,0,0,1
43.208,1.350,0.000,0.000,0,0,1
43.312,1.351,0.000,0.000,0,0,1
43.416,1.349,0.000,0.000,0,0,1
43.520,1.348,0.000,0.000,0,0,1
43.625,1.350,0.000,0.000,0,0,1
43.729,1.347,0.000,0.000,0,0,1
43.833,1.349,0.000,0.000,0,0,1
43.937,1.349,0.000,0.000,0,0,1
44.042,1.348,0.000,0.000,0,0,1
44.145,1.352,0.000,0.000,0,0,1
44.249,1.349,0.000,0.000,0,0,1
44.354,1.350,0.000,0.000,0,0,1
44.457,1.349,0.000,0.000,0,0,1
44.562,1.348,0.000,0.000,0,0,1
44.666,1.348,0.000,0.000,0,0,1
44.771,1.348,0.000,0.000,0,0,1
44.874,1.346,0.000,0.000,0,0,1
44.978,1.352,0.000,0.000,0,0,1
45.083,1.347,0.000,0.000,0,0,1
45.186,1.348,0.000,0.000,0,0,1
45.291,1.352,0.000,0.000,0,0,1
45.395,1.351,0.000,0.000,0,0,1
45.499,1.349,0.000,0.000,0,0,1
45.603,1.348,0.000,0.000,0,0,1
45.708,1.352,0.000,0.000,0,0,1
45.812,1.351,0.000,0.000,0,0,1
45.915,1.348,0.000,0.000,0,0,1
46.020,1.346,0.000,0.000,0,0,1
46.124,1.348,0.000,0.000,0,0,1
46.228,1.349,0.000,0.000,0,0,1
46.332,1.349,0.000,0.000,0,0,1
46.437,1.349,0.000,0.000,0,0,1
46.540,1.348,0.000,0.000,0,0,1
46.645,1.347,0.000,0.000,0,0,1
46.749,1.347,0.000,0.000,0,0,1
46.853,1.347,0.000,0.000,0,0,1
46.957,1.348,0.000,0.000,0,0,1
47.061,1.346,0.000,0.000,0,0,1
47.166,1.349,0.000,0.000,0,0,1
47.269,1.347,0.000,0.000,0,0,1
47.374,1.348,0.000,0.000,0,0,1
47.478,0.867,0.000,0.000,0,0,1
47.581,0.754,0.000,0.000,0,0,1
47.686,0.813,0.000,0.000,0,0,1
47.790,0.881,0.000,0.000,0,0,1
47.894,1.346,0.000,0.000,0,0,1
47.998,1.341,0.000,0.000,0,0,1
48.103,1.334,0.000,0.000,0,0,1
48.206,1.160,0.000,0.000,0,0,1
48.311,1.168,0.000,0.000,0,0,1
48.415,1.127,0.000,0.000,0,0,1
48.519,1.345,0.000,0.000,0,0,1
48.623,1.344,0.000,0.000,0,0,1
48.727,1.346,0.000,0.000,0,0,1
48.832,1.348,0.000,0.000,0,0,1
48.935,1.346,0.000,0.000,0,0,1
49.040,1.342,0.000,0.000,0,0,1
49.144,1.346,0.000,0.000,0,0,1
49.248,1.346,0.000,0.000,0,0,1
49.352,1.346,0.000,0.000,0,0,1
49.456,1.345,0.000,0.000,0,0,1
49.560,1.345,0.000,0.000,0,0,1
49.664,1.346,0.000,0.000,0,0,1
49.769,1.345,0.000,0.000,0,0,1
49.872,1.346,0.000,0.000,0,0,1
49.977,1.344,0.000,0.000,0,0,1
50.081,1.348,0.000,0.000,0,0,1
50.186,1.346,0.000,0.000,0,0,1
50.289,1.348,0.000,0.000,0,0,1
50.393,1.346,0.000,0.000,0,0,1
50.498,1.344,0.000,0.000,0,0,1
50.601,1.348,0.000,0.000,0,0,1
50.706,1.346,0.000,0.000,0,0,1
50.810,1.344,0.000,0.000,0,0,1
50.914,1.346,0.000,0.000,0,0,1
51.018,1.346,0.000,0.000,0,0,1
51.122,1.346,0.000,0.000,0,0,1
51.226,1.343,0.000,0.000,0,0,1
51.330,1.346,0.000,0.000,0,0,1
51.435,1.346,0.000,0.000,0,0,1
51.539,1.345,0.000,0.000,0,0,1
51.643,1.346,0.000,0.000,0,0,1
51.747,1.345,0.000,0.000,0,0,1
51.852,1.347,0.000,0.000,0,0,1
51.955,1.345,0.000,0.000,0,0,1
52.059,1.344,0.000,0.000,0,0,1
52.164,1.345,0.000,0.000,0,0,1
52.267,1.346,0.000,0.000,0,0,1
52.372,1.345,0.000,0.000,0,0,1
52.476,1.345,0.000,0.000,0,0,1
52.581,1.347,0.000,0.000,0,0,1
52.684,1.345,0.000,0.000,0,0,1
52.789,1.346,0.000,0.000,0,0,1
52.893,1.345,0.000,0.000,0,0,1
52.996,1.345,0.000,0.000,0,0,1
53.101,1.346,0.000,0.000,0,0,1
53.205,1.345,0.000,0.000,0,0,1
53.309,1.346,0.000,0.000,0,0,1
53.413,1.345,0.000,0.000,0,0,1
53.518,1.344,0.000,0.000,0,0,1
53.621,1.346,0.000,0.000,0,0,1
53.725,1.345,0.000,0.000,0,0,1
53.830,1.345,0.000,0.000,0,0,1
53.933,1.345,0.000,0.000,0,0,1
54.038,1.345,0.000,0.000,0,0,1
54.142,1.345,0.000,0.000,0,0,1
54.247,1.346,0.000,0.000,0,0,1
54.350,1.346,0.000,0.000,0,0,1
54.455,1.346,0.000,0.000,0,0,1
54.559,1.343,0.000,0.000,0,0,1
54.662,1.346,0.000,0.000,0,0,1
