ts,acs1,acs2,ci,ti,bi,si,rpm,torque,score
1782175890.598857,504,282,13,13,230,23.250153818467567,150576,20.2,537.2118457924372
1782175890.6992028,332,414,159,159,98,20.66571429143079,12311,247.3,102.18075406004974
1782175890.7995515,447,507,44,44,5,20.723122328554496,44488,68.4,195.6395359221915
1782175890.8988545,320,102,171,171,410,18.440641929396676,11447,266.0,85.40988994096573
1782175890.999214,350,471,141,141,41,17.11152740646689,13882,219.3,103.53611887429047
1782175891.0995874,445,510,46,46,2,17.433064190991757,42554,71.6,186.3529629617799
1782175891.1989014,173,257,318,318,255,6.206349421248731,6155,494.7,85.13010936340346
1782175891.299245,427,501,64,64,11,6.91038367966776,30585,99.6,138.34316025233588
1782175891.3995934,468,512,23,23,0,7.131155804423713,85108,35.8,314.404489137757
1782175891.4988995,298,436,193,193,76,5.671678578370631,10142,300.2,86.20116520165335
1782175891.599276,448,508,43,43,4,6.329175655739348,45523,66.9,184.58897319731562
1782175891.6996343,479,513,12,12,1,6.456807362112713,163125,18.7,572.0334234141735
1782175891.7989385,384,488,107,107,24,7.500294294762455,18294,166.4,104.07907954422016
1782175891.8992767,469,512,22,22,0,7.1964799518179206,88977,34.2,327.2064799518179
1782175891.9996307,490,512,1,1,0,7.225476437643607,1957500,1.6,6552.385476437644
1782175892.0989552,448,506,43,43,6,7.991039083745278,45523,66.9,186.16406872944304
1782175892.19932,471,512,20,20,0,7.991039083745278,97875,31.1,357.35103908374526
1782175892.2986214,364,475,127,127,37,8.782768440752747,15413,197.6,98.31422903366669
1782175892.4993107,482,513,9,9,1,8.619786970409535,217500,14.0,754.9764030224703
1782175892.598632,400,498,91,91,14,9.753491911197898,21510,141.6,115.00611664004822
1782175892.699001,468,504,23,23,8,11.891203617345909,85108,35.8,318.81746536716514
1782175892.8986747,441,504,50,50,8,12.732563028609832,39150,77.8,170.66549144509574
1782175892.9989796,477,513,14,14,1,12.842996074134504,139821,21.8,501.0496121261952
1782175893.099367,492,516,1,1,4,20.931780509908194,1957500,1.6,6565.918244718151
1782175893.1986675,465,509,26,26,3,21.429401880290555,75288,40.4,296.2992500364728
1782175893.2990587,491,512,0,0,0,20.77191855857616,19575000,0.2,65290.79191855857
1782175893.3993404,494,513,3,3,1,20.121557629385663,652500,4.7,2215.5481736814463
1782175893.4991658,474,512,17,17,0,20.340753483631573,115147,26.4,426.80408681696485
1782175893.599534,490,513,1,1,1,27.503869835080934,1957500,1.6,6572.6204858871415
1782175893.6999273,498,513,7,7,1,27.00343234857621,279642,10.9,980.190048400637
1782175893.8994577,497,507,6,6,5,26.843728908589114,326250,9.3,1135.0568091688929
1782175893.9996784,504,395,13,13,117,28.80134208505831,150576,20.2,547.6654201761645
1782175894.099097,482,514,9,9,2,28.352956174808654,217500,14.0,774.6661882789301
1782175894.199658,494,511,3,3,1,31.259578445025852,652500,4.7,2226.6861944970865
1782175894.2999694,363,142,128,128,370,31.80990622613217,15292,199.1,106.6411788219384
1782175894.3992574,492,513,1,1,1,31.304011114993855,1957500,1.6,6576.420627167055
1782175894.4995804,500,489,9,9,23,53.21201483761504,217500,14.0,798.6141840350119
