ts,acs1,acs2,ci,ti,bi,si,rpm,torque,weight,brush_peak,growth_pct
1782180071.5815268,506,513,6,6,1,99.2819780257154,29375,100.0,60.0,448,99.77678571428571
1782180071.6808243,505,514,7,7,2,99.2819780257154,29375,100.0,60.0,448,99.55357142857143
1782180071.7813644,505,512,7,7,0,99.28120471157175,29375,100.0,60.0,448,100.0
1782180071.88161,505,513,7,7,1,99.2819780257154,29375,100.0,60.0,448,99.77678571428571
1782180071.9809318,505,514,7,7,2,99.2819780257154,29375,100.0,60.0,448,99.55357142857143
1782180072.0813622,505,513,7,7,1,99.2819780257154,29375,100.0,60.0,448,99.77678571428571
1782180072.1816754,506,514,6,6,2,99.2819780257154,29375,100.0,60.0,448,99.55357142857143
1782180072.2808883,506,514,6,6,2,99.2819780257154,29375,100.0,60.0,448,99.55357142857143
1782180072.3814101,505,513,7,7,1,99.32917960675006,29375,100.0,60.0,448,99.77678571428571
1782180072.4816325,506,514,6,6,2,99.32917960675006,29375,100.0,60.0,448,99.55357142857143
1782180072.5809343,504,513,8,8,1,99.2819780257154,29375,100.0,60.0,448,99.77678571428571
1782180072.6814437,505,514,7,7,2,99.2819780257154,29375,100.0,60.0,448,99.55357142857143
1782180072.781677,505,513,7,7,1,99.2819780257154,29375,100.0,60.0,448,99.77678571428571
1782180072.880929,506,514,6,6,2,99.28120471157175,29375,100.0,60.0,448,99.55357142857143
1782180072.9814148,506,513,6,6,1,99.2819780257154,29375,100.0,60.0,448,99.77678571428571
1782180073.0819366,505,513,7,7,1,99.33000829192527,29375,100.0,60.0,448,99.77678571428571
1782180073.1809473,506,514,6,6,2,99.38175876696695,29375,100.0,60.0,448,99.55357142857143
1782180073.2812917,506,515,6,6,3,99.43726856612886,29375,100.0,60.0,448,99.33035714285714
1782180073.3817594,505,514,7,7,2,99.43825668178825,29375,100.0,60.0,448,99.55357142857143
1782180073.481079,505,512,7,7,0,99.44123151285866,29375,100.0,60.0,448,100.0
1782180073.581616,506,514,6,6,2,99.44123151285866,29375,100.0,60.0,448,99.55357142857143
1782180073.6818216,505,514,7,7,2,99.44622507580546,29375,100.0,60.0,448,99.55357142857143
1782180073.780947,506,513,6,6,1,99.44622507580546,29375,100.0,60.0,448,99.77678571428571
1782180073.8813393,505,512,7,7,0,99.44622507580546,29375,100.0,60.0,448,100.0
1782180073.9820487,505,514,7,7,2,99.45329268443811,29375,100.0,60.0,448,99.55357142857143
1782180074.0810227,506,513,6,6,1,99.44622507580546,29375,100.0,60.0,448,99.77678571428571
1782180074.1814892,505,513,7,7,1,99.44622507580546,29375,100.0,60.0,448,99.77678571428571
1782180074.280777,505,513,7,7,1,99.44622507580546,29375,100.0,60.0,448,99.77678571428571
1782180074.3810284,506,514,6,6,2,99.44622507580546,29375,100.0,60.0,448,99.55357142857143
1782180074.4814174,506,509,6,6,3,99.44622507580546,29375,100.0,60.0,448,99.33035714285714
1782180074.5808678,506,513,6,6,1,99.44622507580546,29375,100.0,60.0,448,99.77678571428571
1782180074.6810482,506,514,6,6,2,99.44123151285866,29375,100.0,60.0,448,99.55357142857143
1782180074.781477,506,514,6,6,2,99.43825668178825,29375,100.0,60.0,448,99.55357142857143
1782180074.889004,514,514,2,2,2,99.01737313513442,29375,100.0,60.0,448,99.55357142857143
1782180074.987787,516,513,4,4,1,98.93750816996605,29375,100.0,60.0,448,99.77678571428571
1782180075.0881395,514,514,2,2,2,98.7,29375,100.0,60.0,448,99.55357142857143
1782180075.1873548,515,515,3,3,3,98.58578643762691,29375,100.0,60.0,448,99.33035714285714
1782180075.2877364,514,513,2,2,1,98.41394969955063,29375,100.0,60.0,448,99.77678571428571
1782180075.3881125,514,514,2,2,2,98.28438543567229,29375,100.0,60.0,448,99.55357142857143
1782180075.4874022,514,513,2,2,1,98.16182457613837,29375,100.0,60.0,448,99.77678571428571
1782180075.5879843,514,513,2,2,1,98.11173212823086,29375,100.0,60.0,448,99.77678571428571
1782180075.688233,514,513,2,2,1,98.04381323318384,29375,100.0,60.0,448,99.77678571428571
1782180075.7886293,514,514,2,2,2,97.9919606024228,29375,100.0,60.0,448,99.55357142857143
1782180075.8889315,514,513,2,2,1,97.9287684822792,29375,100.0,60.0,448,99.77678571428571
1782180075.9881616,514,514,2,2,2,97.87580080448602,29375,100.0,60.0,448,99.55357142857143
1782180076.0884554,513,513,1,1,1,97.8139330090574,29375,100.0,60.0,448,99.77678571428571
1782180076.1889215,513,515,1,1,3,97.74020649910956,29375,100.0,60.0,448,99.33035714285714
1782180076.2881346,514,513,2,2,1,97.7206238670295,29375,100.0,60.0,448,99.77678571428571
1782180076.388494,514,514,2,2,2,97.7438971654643,29375,100.0,60.0,448,99.55357142857143
1782180076.489217,513,514,1,1,2,97.7438971654643,29375,100.0,60.0,448,99.55357142857143
1782180076.5884807,515,513,3,3,1,97.77289425486799,29375,100.0,60.0,448,99.77678571428571
1782180076.6884964,512,513,0,0,1,97.75376858815581,29375,100.0,60.0,448,99.77678571428571
1782180076.789151,513,514,1,1,2,97.75500556793564,29375,100.0,60.0,448,99.55357142857143
1782180076.8881526,514,513,2,2,1,97.84464491195637,29375,100.0,60.0,448,99.77678571428571
1782180076.988788,514,514,2,2,2,97.95169446723504,29375,100.0,60.0,448,99.55357142857143
1782180077.0888515,514,514,2,2,2,98.01785750035754,29375,100.0,60.0,448,99.55357142857143
1782180077.188313,513,513,1,1,1,98.13929523507295,29375,100.0,60.0,448,99.77678571428571
1782180077.2885354,514,513,2,2,1,98.313122542816,29375,100.0,60.0,448,99.77678571428571
1782180077.3889945,515,513,3,3,1,98.43510738742593,29375,100.0,60.0,448,99.77678571428571
1782180077.4883509,513,514,1,1,2,98.55893557858552,29375,100.0,60.0,448,99.55357142857143
1782180077.5886207,514,513,2,2,1,98.73289481275012,29375,100.0,60.0,448,99.77678571428571
1782180077.68902,513,514,1,1,2,98.93541870515524,29375,100.0,60.0,448,99.55357142857143
1782180077.7885933,513,513,1,1,1,99.22182549800475,29375,100.0,60.0,448,99.77678571428571
1782180077.8886354,514,513,2,2,1,99.22182549800475,29375,100.0,60.0,448,99.77678571428571
1782180077.989112,514,514,2,2,2,99.3325005201833,29375,100.0,60.0,448,99.55357142857143
1782180078.0885308,513,513,1,1,1,99.32013073152096,29375,100.0,60.0,448,99.77678571428571
1782180078.1888485,513,514,1,1,2,99.35021371034607,29375,100.0,60.0,448,99.55357142857143
1782180078.2891843,515,513,3,3,1,99.30958949409306,29375,100.0,60.0,448,99.77678571428571
1782180078.3885908,512,514,0,0,2,99.24796572182143,29375,100.0,60.0,448,99.55357142857143
1782180078.4886694,515,514,3,3,2,99.21118936225338,29375,100.0,60.0,448,99.55357142857143
1782180078.5889673,514,513,2,2,1,99.21118936225338,29375,100.0,60.0,448,99.77678571428571
1782180078.688516,513,514,1,1,2,99.20487597054156,29375,100.0,60.0,448,99.55357142857143
1782180078.7886858,513,513,1,1,1,99.2,29375,100.0,60.0,448,99.77678571428571
